Time,Date,Year,Actual,Forecasted,Error,MAPE
6/1/2013,2013-06-01,2013,301412,,,
7/1/2013,2013-07-01,2013,338761,,,
8/1/2013,2013-08-01,2013,342064,,,
9/1/2013,2013-09-01,2013,283787,,,
10/1/2013,2013-10-01,2013,334410,,,
11/1/2013,2013-11-01,2013,386737,,,
12/1/2013,2013-12-01,2013,431807,,,
1/1/2014,2014-01-01,2014,442045,,,
2/1/2014,2014-02-01,2014,425801,,,
3/1/2014,2014-03-01,2014,400076,,,
4/1/2014,2014-04-01,2014,332690,,,
5/1/2014,2014-05-01,2014,300302,,,
6/1/2014,2014-06-01,2014,300454,,,
7/1/2014,2014-07-01,2014,340091,,,
8/1/2014,2014-08-01,2014,347211,,,
9/1/2014,2014-09-01,2014,311388,,,
10/1/2014,2014-10-01,2014,390637,,,
11/1/2014,2014-11-01,2014,411501,,,
12/1/2014,2014-12-01,2014,500579,,,
1/1/2015,2015-01-01,2015,460577,,,
2/1/2015,2015-02-01,2015,430207,,,
3/1/2015,2015-03-01,2015,417052,,,
4/1/2015,2015-04-01,2015,361139,,,
5/1/2015,2015-05-01,2015,314748,,,
6/1/2015,2015-06-01,2015,318267,,,
7/1/2015,2015-07-01,2015,364325,,,
8/1/2015,2015-08-01,2015,366096,,,
9/1/2015,2015-09-01,2015,314459,,,
10/1/2015,2015-10-01,2015,408922,,,
11/1/2015,2015-11-01,2015,444640,,,
12/1/2015,2015-12-01,2015,574799,,,
1/1/2016,2016-01-01,2016,466086,,,
2/1/2016,2016-02-01,2016,448468,,,
3/1/2016,2016-03-01,2016,427923,,,
4/1/2016,2016-04-01,2016,367684,,,
5/1/2016,2016-05-01,2016,320601,,,
6/1/2016,2016-06-01,2016,330170,,,
7/1/2016,2016-07-01,2016,395761,,,
8/1/2016,2016-08-01,2016,406214,,,
9/1/2016,2016-09-01,2016,345508,,,
10/1/2016,2016-10-01,2016,414077,,,
11/1/2016,2016-11-01,2016,477866,,,
12/1/2016,2016-12-01,2016,611534,,,
1/1/2017,2017-01-01,2017,532206,,,
2/1/2017,2017-02-01,2017,493316,,,
3/1/2017,2017-03-01,2017,477374,,,
4/1/2017,2017-04-01,2017,412925,,,
5/1/2017,2017-05-01,2017,368809,,,
6/1/2017,2017-06-01,2017,378049,,,
7/1/2017,2017-07-01,2017,446627,,,
8/1/2017,2017-08-01,2017,427224,,,
9/1/2017,2017-09-01,2017,376231,,,
10/1/2017,2017-10-01,2017,417039,,,
11/1/2017,2017-11-01,2017,570471,,,
12/1/2017,2017-12-01,2017,701886,,,
1/1/2018,2018-01-01,2018,596241,,,
2/1/2018,2018-02-01,2018,542937,,,
3/1/2018,2018-03-01,2018,572075,,,
4/1/2018,2018-04-01,2018,463423,,,
5/1/2018,2018-05-01,2018,419171,,,
6/1/2018,2018-06-01,2018,407813,,,
7/1/2018,2018-07-01,2018,454056,,,
8/1/2018,2018-08-01,2018,494043,,,
9/1/2018,2018-09-01,2018,426274,,,
10/1/2018,2018-10-01,2018,453370,,,
11/1/2018,2018-11-01,2018,596145,,,
12/1/2018,2018-12-01,2018,755145,,,
1/1/2019,2019-01-01,2019,647206,,,
2/1/2019,2019-02-01,2019,597483,,,
3/1/2019,2019-03-01,2019,633164,,,
4/1/2019,2019-04-01,2019,537656,,,
5/1/2019,2019-05-01,2019,472950,,,
6/1/2019,2019-06-01,2019,450013,,,
7/1/2019,2019-07-01,2019,502421,,,
8/1/2019,2019-08-01,2019,519502,,,
9/1/2019,2019-09-01,2019,453900,,,
10/1/2019,2019-10-01,2019,481782,,,
11/1/2019,2019-11-01,2019,602042,,,
12/1/2019,2019-12-01,2019,712462,,,
1/1/2020,2020-01-01,2020,547963,,,
2/1/2020,2020-02-01,2020,383863,,,
3/1/2020,2020-03-01,2020,223400,,,
4/1/2020,2020-04-01,2020,4841,,,
5/1/2020,2020-05-01,2020,10475,,,
6/1/2020,2020-06-01,2020,12284,,,
7/1/2020,2020-07-01,2020,24029,,,
8/1/2020,2020-08-01,2020,23028,,,
9/1/2020,2020-09-01,2020,21137,,,
10/1/2020,2020-10-01,2020,20210,,,
11/1/2020,2020-11-01,2020,18184,,,
12/1/2020,2020-12-01,2020,42204,,,
1/1/2021,2021-01-01,2021,20567,,,
2/1/2021,2021-02-01,2021,20580,,,
3/1/2021,2021-03-01,2021,29754,,,
4/1/2021,2021-04-01,2021,11911,,,
5/1/2021,2021-05-01,2021,8757,,,
6/1/2021,2021-06-01,2021,10964,,,
7/1/2021,2021-07-01,2021,26896,,,
8/1/2021,2021-08-01,2021,19463,,,
9/1/2021,2021-09-01,2021,9967,,,
10/1/2021,2021-10-01,2021,12759,,,
11/1/2021,2021-11-01,2021,18933,,,
12/1/2021,2021-12-01,2021,13229,,,
1/1/2022,2022-01-01,2022,44910,,,
2/1/2022,2022-02-01,2022,50410,,,
3/1/2022,2022-03-01,2022,64325,,,
4/1/2022,2022-04-01,2022,81939,,,
5/1/2022,2022-05-01,2022,101979,,,
6/1/2022,2022-06-01,2022,163298,,,
7/1/2022,2022-07-01,2022,336769,,,
8/1/2022,2022-08-01,2022,254813,,,
9/1/2022,2022-09-01,2022,267500,,,
10/1/2022,2022-10-01,2022,310182,,,
11/1/2022,2022-11-01,2022,330181,,,
12/1/2022,2022-12-01,2022,362571,,,
1/1/2023,2023-01-01,2023,402943,,24645.80549,6.116449595
2/1/2023,2023-02-01,2023,434503,,31651.84734,7.28460962
3/1/2023,2023-03-01,2023,453093,,24410.43735,5.38751147
4/1/2023,2023-04-01,2023,430129,,15227.09198,3.540122144
5/1/2023,2023-05-01,2023,431650,,16373.14206,3.793152338
6/1/2023,2023-06-01,2023,416150,,2748.953395,0.660567919
7/1/2023,2023-07-01,2023,457412,,-1486.716965,0.325027976
8/1/2023,2023-08-01,2023,464637,,7974.086232,1.716196995
9/1/2023,2023-09-01,2023,424901,,-17982.91054,4.232258936
10/1/2023,2023-10-01,2023,480330,,14881.45317,3.098172751
11/1/2023,2023-11-01,2023,510231,,41327.89565,8.0998402
12/1/2023,2023-12-01,2023,535738,,26162.93331,4.883531373
1/1/2024,2024-01-01,2024,540023,,41716.60901,7.724968938
2/1/2024,2024-02-01,2024,448551,,-58440.41029,13.02871029
3/1/2024,2024-03-01,2024,594103,,41844.32003,7.043277013
4/1/2024,2024-04-01,2024,533932,,-9315.465485,1.744691362
5/1/2024,2024-05-01,2024,524390,,-6816.281492,1.299849633
6/30/2024,2024-06-30,2024,525498,545320.0788,,
7/31/2024,2024-07-31,2024,575733,556383.6577,,
8/31/2024,2024-08-31,2024,548828,547784.2067,,
9/30/2024,2024-09-30,2024,509474,527644.6799,,
10/31/2024,2024-10-31,2024,,551170.3059,,
11/30/2024,2024-11-30,2024,,553003.3356,,
12/30/2024,2024-12-30,2024,,556351.22,,
