Time,Date,Year,Actual,Forecasted,Error,MAPE
1/1/2023,2023-01-01,2023,402943,378743.8664,24199.13362,6.005597222
2/1/2023,2023-02-01,2023,434503,403494.9495,31008.05046,7.136441051
3/1/2023,2023-03-01,2023,453093,432634.7814,20458.2186,4.515236077
4/1/2023,2023-04-01,2023,430129,417142.8611,12986.13885,3.019126554
5/1/2023,2023-05-01,2023,431650,415080.6548,16569.34519,3.838606554
6/1/2023,2023-06-01,2023,416150,413120.2654,3029.734645,0.728039083
7/1/2023,2023-07-01,2023,457412,461362.6388,-3950.63884,0.863693747
8/1/2023,2023-08-01,2023,464637,455171.1638,9465.836232,2.037254078
9/1/2023,2023-09-01,2023,424901,441907.723,-17006.72304,4.002514243
10/1/2023,2023-10-01,2023,480330,467514.5156,12815.48442,2.668058298
11/1/2023,2023-11-01,2023,510231,469780.4793,40450.52065,7.927883773
12/1/2023,2023-12-01,2023,535738,509521.8792,26216.12081,4.893459267
1/1/2024,2024-01-01,2024,540023,501152.0785,38870.92151,7.198012215
2/1/2024,2024-02-01,2024,448551,509390.0353,-60839.03529,13.56345996
3/1/2024,2024-03-01,2024,594103,562280.18,31822.82003,5.356448298
4/1/2024,2024-04-01,2024,533932,544062.1217,-10130.12174,1.897268142
5/1/2024,2024-05-01,2024,524390,532624.2502,-8234.250242,1.570253102
6/1/2024,2024-06-01,2024,525498,545320.0788,-19822.0788,3.7720559
7/1/2024,2024-07-01,2024,575733,556383.6577,19349.342,3.36
8/1/2024,2024-08-01,2024,548828,547784.2067,1044,0.19
9/1/2024,2024-09-01,2024,509474,527644.6799,18170.6799,3.57
